Prompt,Prompt_Type,Sheet,Stimulus,Question_Code,Question_Text,Question_Source,Answer,Answer_Key,Percentage,Perc_Baseline,Perc_Baseline_Numeric,Delta_Absolute,Population,Type,Options,NA,Study,Delta_Baseline,Absolute_Answers_GPT,Perc_GPT,Delta_GPT
EP06,Stimulus,answersEP06,ep06,Q2,How useful are bot recommendations as a PR reviewer?,Q2,3,3,29.62963,20,20.0,9.629629999999999,54,Likert,5,N,1,9.629629999999999,,,29.62963
EP06,Stimulus,answersEP06,ep06,Q2,How useful are bot recommendations as a PR reviewer?,Q2,4,4,33.33333,20,20.0,13.333329999999997,54,Likert,5,N,1,13.333329999999997,,,33.33333
EP06,Stimulus,answersEP06,ep06,Q2,How useful are bot recommendations as a PR reviewer?,Q2,5,5,16.66667,20,20.0,3.33333,54,Likert,5,N,1,3.33333,,,16.66667
EP06,Stimulus,answersEP06,ep06,Q5,Did you know that you can give feedback on bot recommendations by replying to them?,Q5,No,No,62.96296,50,50.0,12.962960000000002,54,Boolean,2,N,1,12.962960000000002,,,62.96296
EP06,Stimulus,answersEP06,ep06,Q5,Did you know that you can give feedback on bot recommendations by replying to them?,Q5,Yes,Yes,37.03704,50,50.0,12.962960000000002,54,Boolean,2,N,1,12.962960000000002,,,37.03704
EP06,Stimulus,answersEP06,ep06,Q6,Did you know that your replies to bot recommendations are reviewed by the recommendation authors?,Q6,No,No,72.22222,50,50.0,22.222219999999993,54,Boolean,2,N,1,22.222219999999993,,,72.22222
EP06,Stimulus,answersEP06,ep06,Q6,Did you know that your replies to bot recommendations are reviewed by the recommendation authors?,Q6,Yes,Yes,27.77778,50,50.0,22.22222,54,Boolean,2,N,1,22.22222,,,27.77778
EP06,Stimulus,answersEP06,ep06,Q7,Did you at anytime reply to bot recommendations?,Q7,Never used or seen Bot,Never used or seen Bot,1.85185,16.66666667,16.66666667,14.81481667,54,Mult,6,Y,1,14.81481667,,,1.85185
EP06,Stimulus,answersEP06,ep06,Q7,Did you at anytime reply to bot recommendations?,Q7,No,No,3.7037,16.66666667,16.66666667,12.962966670000002,54,Mult,6,Y,1,12.962966670000002,,,3.7037
EP06,Stimulus,answersEP06,ep06,Q7,Did you at anytime reply to bot recommendations?,Q7,Wasn't aware that replying to Bot's comment is of any value,Wasn't aware that replying to Bot's comment is of any value,35.18519,16.66666667,16.66666667,18.518523329999997,54,Mult,6,Y,1,18.518523329999997,,,35.18519
EP06,Stimulus,answersEP06,ep06,Q7,Did you at anytime reply to bot recommendations?,Q7,"Yes, replied to provide feedback to Bot","Yes, replied to provide feedback to Bot",16.66667,16.66666667,16.66666667,3.3299999984137685e-06,54,Mult,6,Y,1,3.3299999984137685e-06,,,16.66667
EP06,Stimulus,answersEP06,ep06,Q7,Did you at anytime reply to bot recommendations?,Q7,"Yes, replied to provide update to the PR reviewers","Yes, replied to provide update to the PR reviewers",12.96296,16.66666667,16.66666667,3.7037066700000008,54,Mult,6,Y,1,3.7037066700000008,,,12.96296
EP06,Stimulus,answersEP06,ep06,Q7,Did you at anytime reply to bot recommendations?,Q7,,__NA__,29.62963,16.66666667,16.66666667,12.962963329999997,54,Mult,6,Y,1,12.962963329999997,,,29.62963
EP07,Stimulus,answersEP07,ep07,Q1,How useful are bot recommendations as a PR author?,Q1+EP07,1,1,3.7037,20,20.0,16.2963,54,Likert,5,N,1,16.2963,,,3.7037
EP07,Stimulus,answersEP07,ep07,Q1,How useful are bot recommendations as a PR author?,Q1+EP07,2,2,11.11111,20,20.0,8.88889,54,Likert,5,N,1,8.88889,,,11.11111
EP07,Stimulus,answersEP07,ep07,Q1,How useful are bot recommendations as a PR author?,Q1+EP07,3,3,25.92593,20,20.0,5.925930000000001,54,Likert,5,N,1,5.925930000000001,,,25.92593
EP07,Stimulus,answersEP07,ep07,Q1,How useful are bot recommendations as a PR author?,Q1+EP07,4,4,38.88889,20,20.0,18.888890000000004,54,Likert,5,N,1,18.888890000000004,,,38.88889
EP07,Stimulus,answersEP07,ep07,Q1,How useful are bot recommendations as a PR author?,Q1+EP07,5,5,20.37037,20,20.0,0.3703700000000012,54,Likert,5,N,1,0.3703700000000012,,,20.37037
EP07,Stimulus,answersEP07,ep07,Q2,How useful are bot recommendations as a PR reviewer?,Q2+EP07,1,1,5.55556,20,20.0,14.44444,54,Likert,5,N,1,14.44444,,,5.55556
EP07,Stimulus,answersEP07,ep07,Q2,How useful are bot recommendations as a PR reviewer?,Q2+EP07,2,2,14.81481,20,20.0,5.18519,54,Likert,5,N,1,5.18519,,,14.81481
EP07,Stimulus,answersEP07,ep07,Q2,How useful are bot recommendations as a PR reviewer?,Q2+EP07,3,3,31.48148,20,20.0,11.481480000000001,54,Likert,5,N,1,11.481480000000001,,,31.48148
EP07,Stimulus,answersEP07,ep07,Q2,How useful are bot recommendations as a PR reviewer?,Q2+EP07,4,4,33.33333,20,20.0,13.333329999999997,54,Likert,5,N,1,13.333329999999997,,,33.33333
EP07,Stimulus,answersEP07,ep07,Q2,How useful are bot recommendations as a PR reviewer?,Q2+EP07,5,5,14.81481,20,20.0,5.18519,54,Likert,5,N,1,5.18519,,,14.81481
EP07,Stimulus,answersEP07,ep07,Q5,Did you know that you can give feedback on bot recommendations by replying to them?,Q5+EP07,No,No,61.11111,50,50.0,11.111109999999996,54,Boolean,2,N,1,11.111109999999996,,,61.11111
EP07,Stimulus,answersEP07,ep07,Q5,Did you know that you can give feedback on bot recommendations by replying to them?,Q5+EP07,Yes,Yes,38.88889,50,50.0,11.111109999999996,54,Boolean,2,N,1,11.111109999999996,,,38.88889
EP07,Stimulus,answersEP07,ep07,Q6,Did you know that your replies to bot recommendations are reviewed by the recommendation authors?,Q6+EP07,No,No,74.07407,50,50.0,24.074070000000006,54,Boolean,2,N,1,24.074070000000006,,,74.07407
EP07,Stimulus,answersEP07,ep07,Q6,Did you know that your replies to bot recommendations are reviewed by the recommendation authors?,Q6+EP07,Yes,Yes,25.92593,50,50.0,24.07407,54,Boolean,2,N,1,24.07407,,,25.92593
EP07,Stimulus,answersEP07,ep07,Q7,Did you at anytime reply to bot recommendations?,Q7+EP07,Never used or seen Bot,Never used or seen Bot,1.85185,16.66666667,16.66666667,14.81481667,54,Mult,6,Y,1,14.81481667,,,1.85185
EP07,Stimulus,answersEP07,ep07,Q7,Did you at anytime reply to bot recommendations?,Q7+EP07,No,No,1.85185,16.66666667,16.66666667,14.81481667,54,Mult,6,Y,1,14.81481667,,,1.85185
EP07,Stimulus,answersEP07,ep07,Q7,Did you at anytime reply to bot recommendations?,Q7+EP07,Wasn't aware that replying to Bot's comment is of any value,Wasn't aware that replying to Bot's comment is of any value,37.03704,16.66666667,16.66666667,20.370373329999996,54,Mult,6,Y,1,20.370373329999996,,,37.03704
EP07,Stimulus,answersEP07,ep07,Q7,Did you at anytime reply to bot recommendations?,Q7+EP07,"Yes, replied to provide feedback to Bot","Yes, replied to provide feedback to Bot",18.51852,16.66666667,16.66666667,1.8518533299999973,54,Mult,6,Y,1,1.8518533299999973,,,18.51852
EP07,Stimulus,answersEP07,ep07,Q7,Did you at anytime reply to bot recommendations?,Q7+EP07,"Yes, replied to provide update to the PR reviewers","Yes, replied to provide update to the PR reviewers",14.81481,16.66666667,16.66666667,1.8518566700000019,54,Mult,6,Y,1,1.8518566700000019,,,14.81481
EP07,Stimulus,answersEP07,ep07,Q7,Did you at anytime reply to bot recommendations?,Q7+EP07,,__NA__,25.92593,16.66666667,16.66666667,9.25926333,54,Mult,6,Y,1,9.25926333,,,25.92593
EP08,Stimulus,answersEP08,ep08,Q1,How useful are bot recommendations as a PR author?,Q1+EP08,1,1,3.7037,20,20.0,16.2963,54,Likert,5,N,1,16.2963,,,3.7037
EP08,Stimulus,answersEP08,ep08,Q1,How useful are bot recommendations as a PR author?,Q1+EP08,2,2,9.25926,20,20.0,10.74074,54,Likert,5,N,1,10.74074,,,9.25926
EP08,Stimulus,answersEP08,ep08,Q1,How useful are bot recommendations as a PR author?,Q1+EP08,3,3,25.92593,20,20.0,5.925930000000001,54,Likert,5,N,1,5.925930000000001,,,25.92593
EP08,Stimulus,answersEP08,ep08,Q1,How useful are bot recommendations as a PR author?,Q1+EP08,4,4,40.74074,20,20.0,20.740740000000002,54,Likert,5,N,1,20.740740000000002,,,40.74074
EP08,Stimulus,answersEP08,ep08,Q1,How useful are bot recommendations as a PR author?,Q1+EP08,5,5,20.37037,20,20.0,0.3703700000000012,54,Likert,5,N,1,0.3703700000000012,,,20.37037
EP08,Stimulus,answersEP08,ep08,Q2,How useful are bot recommendations as a PR reviewer?,Q2+EP08,1,1,1.85185,20,20.0,18.14815,54,Likert,5,N,1,18.14815,,,1.85185
EP08,Stimulus,answersEP08,ep08,Q2,How useful are bot recommendations as a PR reviewer?,Q2+EP08,2,2,7.40741,20,20.0,12.592590000000001,54,Likert,5,N,1,12.592590000000001,,,7.40741
EP08,Stimulus,answersEP08,ep08,Q2,How useful are bot recommendations as a PR reviewer?,Q2+EP08,3,3,22.22222,20,20.0,2.22222,54,Likert,5,N,1,2.22222,,,22.22222
EP08,Stimulus,answersEP08,ep08,Q2,How useful are bot recommendations as a PR reviewer?,Q2+EP08,4,4,44.44444,20,20.0,24.44444,54,Likert,5,N,1,24.44444,,,44.44444
EP08,Stimulus,answersEP08,ep08,Q2,How useful are bot recommendations as a PR reviewer?,Q2+EP08,5,5,24.07407,20,20.0,4.074069999999999,54,Likert,5,N,1,4.074069999999999,,,24.07407
EP08,Stimulus,answersEP08,ep08,Q5,Did you know that you can give feedback on bot recommendations by replying to them?,Q5+EP08,No,No,42.59259,50,50.0,7.407409999999999,54,Boolean,2,N,1,16.666669999999996,,,66.66667
EP08,Stimulus,answersEP08,ep08,Q5,Did you know that you can give feedback on bot recommendations by replying to them?,Q5+EP08,Yes,Yes,57.40741,50,50.0,7.407409999999999,54,Boolean,2,N,1,16.666670000000003,,,33.33333
EP08,Stimulus,answersEP08,ep08,Q6,Did you know that your replies to bot recommendations are reviewed by the recommendation authors?,Q6+EP08,No,No,66.66667,50,50.0,16.666669999999996,54,Boolean,2,N,1,,,,
EP08,Stimulus,answersEP08,ep08,Q6,Did you know that your replies to bot recommendations are reviewed by the recommendation authors?,Q6+EP08,Yes,Yes,33.33333,50,50.0,16.666670000000003,54,Boolean,2,N,1,,,,
EP08,Stimulus,answersEP08,ep08,Q7,Did you at anytime reply to bot recommendations?,Q7+EP08,Never used or seen Bot,Never used or seen Bot,1.85185,16.66666667,16.66666667,14.81481667,54,Mult,6,Y,1,14.81481667,,,1.85185
EP08,Stimulus,answersEP08,ep08,Q7,Did you at anytime reply to bot recommendations?,Q7+EP08,No,No,3.7037,16.66666667,16.66666667,12.962966670000002,54,Mult,6,Y,1,12.962966670000002,,,3.7037
EP08,Stimulus,answersEP08,ep08,Q7,Did you at anytime reply to bot recommendations?,Q7+EP08,Wasn't aware that replying to Bot's comment is of any value,Wasn't aware that replying to Bot's comment is of any value,31.48148,16.66666667,16.66666667,14.81481333,54,Mult,6,Y,1,14.81481333,,,31.48148
EP08,Stimulus,answersEP08,ep08,Q7,Did you at anytime reply to bot recommendations?,Q7+EP08,"Yes, replied to provide feedback to Bot","Yes, replied to provide feedback to Bot",20.37037,16.66666667,16.66666667,3.7037033299999997,54,Mult,6,Y,1,3.7037033299999997,,,20.37037
EP08,Stimulus,answersEP08,ep08,Q7,Did you at anytime reply to bot recommendations?,Q7+EP08,"Yes, replied to provide update to the PR reviewers","Yes, replied to provide update to the PR reviewers",16.66667,16.66666667,16.66666667,3.3299999984137685e-06,54,Mult,6,Y,1,3.3299999984137685e-06,,,16.66667
EP08,Stimulus,answersEP08,ep08,Q7,Did you at anytime reply to bot recommendations?,Q7+EP08,,__NA__,25.92593,16.66666667,16.66666667,9.25926333,54,Mult,6,Y,1,9.25926333,,,25.92593
EP09,Stimulus,answersEP09,ep09,Q1,How useful are bot recommendations as a PR author?,Q1+EP09,1,1,3.7037,20,20.0,16.2963,54,Likert,5,N,1,16.2963,,,3.7037
EP09,Stimulus,answersEP09,ep09,Q1,How useful are bot recommendations as a PR author?,Q1+EP09,2,2,12.96296,20,20.0,7.037039999999999,54,Likert,5,N,1,7.037039999999999,,,12.96296
EP09,Stimulus,answersEP09,ep09,Q1,How useful are bot recommendations as a PR author?,Q1+EP09,3,3,29.62963,20,20.0,9.629629999999999,54,Likert,5,N,1,9.629629999999999,,,29.62963
EP09,Stimulus,answersEP09,ep09,Q1,How useful are bot recommendations as a PR author?,Q1+EP09,4,4,37.03704,20,20.0,17.037039999999998,54,Likert,5,N,1,17.037039999999998,,,37.03704
EP09,Stimulus,answersEP09,ep09,Q1,How useful are bot recommendations as a PR author?,Q1+EP09,5,5,16.66667,20,20.0,3.33333,54,Likert,5,N,1,3.33333,,,16.66667
EP09,Stimulus,answersEP09,ep09,Q2,How useful are bot recommendations as a PR reviewer?,Q2+EP09,1,1,5.55556,20,20.0,14.44444,54,Likert,5,N,1,14.44444,,,5.55556
EP09,Stimulus,answersEP09,ep09,Q2,How useful are bot recommendations as a PR reviewer?,Q2+EP09,2,2,14.81481,20,20.0,5.18519,54,Likert,5,N,1,5.18519,,,14.81481
EP09,Stimulus,answersEP09,ep09,Q2,How useful are bot recommendations as a PR reviewer?,Q2+EP09,3,3,33.33333,20,20.0,13.333329999999997,54,Likert,5,N,1,13.333329999999997,,,33.33333
EP09,Stimulus,answersEP09,ep09,Q2,How useful are bot recommendations as a PR reviewer?,Q2+EP09,4,4,31.48148,20,20.0,11.481480000000001,54,Likert,5,N,1,11.481480000000001,,,31.48148
EP09,Stimulus,answersEP09,ep09,Q2,How useful are bot recommendations as a PR reviewer?,Q2+EP09,5,5,14.81481,20,20.0,5.18519,54,Likert,5,N,1,5.18519,,,14.81481
EP09,Stimulus,answersEP09,ep09,Q5,Did you know that you can give feedback on bot recommendations by replying to them?,Q5+EP09,No,No,53.7037,50,50.0,3.7036999999999978,54,Boolean,2,N,1,18.518519999999995,,,68.51852
EP09,Stimulus,answersEP09,ep09,Q5,Did you know that you can give feedback on bot recommendations by replying to them?,Q5+EP09,Yes,Yes,46.2963,50,50.0,3.7036999999999978,54,Boolean,2,N,1,18.51852,,,31.48148
EP09,Stimulus,answersEP09,ep09,Q6,Did you know that your replies to bot recommendations are reviewed by the recommendation authors?,Q6+EP09,No,No,68.51852,50,50.0,18.518519999999995,54,Boolean,2,N,1,,,,
EP09,Stimulus,answersEP09,ep09,Q6,Did you know that your replies to bot recommendations are reviewed by the recommendation authors?,Q6+EP09,Yes,Yes,31.48148,50,50.0,18.51852,54,Boolean,2,N,1,,,,
EP09,Stimulus,answersEP09,ep09,Q7,Did you at anytime reply to bot recommendations?,Q7+EP09,Never used or seen Bot,Never used or seen Bot,0.0,16.66666667,16.66666667,16.66666667,54,Mult,6,Y,1,16.66666667,,,0.0
EP09,Stimulus,answersEP09,ep09,Q7,Did you at anytime reply to bot recommendations?,Q7+EP09,No,No,5.55556,16.66666667,16.66666667,11.111106670000002,54,Mult,6,Y,1,11.111106670000002,,,5.55556
EP09,Stimulus,answersEP09,ep09,Q7,Did you at anytime reply to bot recommendations?,Q7+EP09,Wasn't aware that replying to Bot's comment is of any value,Wasn't aware that replying to Bot's comment is of any value,33.33333,16.66666667,16.66666667,16.666663329999995,54,Mult,6,Y,1,16.666663329999995,,,33.33333
EP09,Stimulus,answersEP09,ep09,Q7,Did you at anytime reply to bot recommendations?,Q7+EP09,"Yes, replied to provide feedback to Bot","Yes, replied to provide feedback to Bot",20.37037,16.66666667,16.66666667,3.7037033299999997,54,Mult,6,Y,1,3.7037033299999997,,,20.37037
EP09,Stimulus,answersEP09,ep09,Q7,Did you at anytime reply to bot recommendations?,Q7+EP09,"Yes, replied to provide update to the PR reviewers","Yes, replied to provide update to the PR reviewers",14.81481,16.66666667,16.66666667,1.8518566700000019,54,Mult,6,Y,1,1.8518566700000019,,,14.81481
EP09,Stimulus,answersEP09,ep09,Q7,Did you at anytime reply to bot recommendations?,Q7+EP09,,__NA__,25.92593,16.66666667,16.66666667,9.25926333,54,Mult,6,Y,1,9.25926333,,,25.92593
EP10,Stimulus,answersEP10,ep10,Q1,How useful are bot recommendations as a PR author?,Q1+EP10,1,1,3.7037,20,20.0,16.2963,54,Likert,5,N,1,16.2963,,,3.7037
EP10,Stimulus,answersEP10,ep10,Q1,How useful are bot recommendations as a PR author?,Q1+EP10,2,2,11.11111,20,20.0,8.88889,54,Likert,5,N,1,8.88889,,,11.11111
EP10,Stimulus,answersEP10,ep10,Q1,How useful are bot recommendations as a PR author?,Q1+EP10,3,3,27.77778,20,20.0,7.77778,54,Likert,5,N,1,7.77778,,,27.77778
EP10,Stimulus,answersEP10,ep10,Q1,How useful are bot recommendations as a PR author?,Q1+EP10,4,4,37.03704,20,20.0,17.037039999999998,54,Likert,5,N,1,17.037039999999998,,,37.03704
EP10,Stimulus,answersEP10,ep10,Q1,How useful are bot recommendations as a PR author?,Q1+EP10,5,5,20.37037,20,20.0,0.3703700000000012,54,Likert,5,N,1,0.3703700000000012,,,20.37037
EP10,Stimulus,answersEP10,ep10,Q2,How useful are bot recommendations as a PR reviewer?,Q2+EP10,1,1,5.55556,20,20.0,14.44444,54,Likert,5,N,1,14.44444,,,5.55556
EP10,Stimulus,answersEP10,ep10,Q2,How useful are bot recommendations as a PR reviewer?,Q2+EP10,2,2,12.96296,20,20.0,7.037039999999999,54,Likert,5,N,1,7.037039999999999,,,12.96296
EP10,Stimulus,answersEP10,ep10,Q2,How useful are bot recommendations as a PR reviewer?,Q2+EP10,3,3,25.92593,20,20.0,5.925930000000001,54,Likert,5,N,1,5.925930000000001,,,25.92593
EP10,Stimulus,answersEP10,ep10,Q2,How useful are bot recommendations as a PR reviewer?,Q2+EP10,4,4,35.18519,20,20.0,15.185189999999999,54,Likert,5,N,1,15.185189999999999,,,35.18519
EP10,Stimulus,answersEP10,ep10,Q2,How useful are bot recommendations as a PR reviewer?,Q2+EP10,5,5,20.37037,20,20.0,0.3703700000000012,54,Likert,5,N,1,0.3703700000000012,,,20.37037
EP10,Stimulus,answersEP10,ep10,Q5,Did you know that you can give feedback on bot recommendations by replying to them?,Q5+EP10,No,No,44.44444,50,50.0,5.55556,54,Boolean,2,N,1,12.962960000000002,,,62.96296
EP10,Stimulus,answersEP10,ep10,Q5,Did you know that you can give feedback on bot recommendations by replying to them?,Q5+EP10,Yes,Yes,55.55556,50,50.0,5.55556,54,Boolean,2,N,1,12.962960000000002,,,37.03704
EP10,Stimulus,answersEP10,ep10,Q6,Did you know that your replies to bot recommendations are reviewed by the recommendation authors?,Q6+EP10,No,No,62.96296,50,50.0,12.962960000000002,54,Boolean,2,N,1,,,,
EP10,Stimulus,answersEP10,ep10,Q6,Did you know that your replies to bot recommendations are reviewed by the recommendation authors?,Q6+EP10,Yes,Yes,37.03704,50,50.0,12.962960000000002,54,Boolean,2,N,1,,,,
EP10,Stimulus,answersEP10,ep10,Q7,Did you at anytime reply to bot recommendations?,Q7+EP10,Never used or seen Bot,Never used or seen Bot,3.7037,16.66666667,16.66666667,12.962966670000002,54,Mult,6,Y,1,12.962966670000002,,,3.7037
EP10,Stimulus,answersEP10,ep10,Q7,Did you at anytime reply to bot recommendations?,Q7+EP10,No,No,3.7037,16.66666667,16.66666667,12.962966670000002,54,Mult,6,Y,1,12.962966670000002,,,3.7037
EP10,Stimulus,answersEP10,ep10,Q7,Did you at anytime reply to bot recommendations?,Q7+EP10,Wasn't aware that replying to Bot's comment is of any value,Wasn't aware that replying to Bot's comment is of any value,25.92593,16.66666667,16.66666667,9.25926333,54,Mult,6,Y,1,9.25926333,,,25.92593
EP10,Stimulus,answersEP10,ep10,Q7,Did you at anytime reply to bot recommendations?,Q7+EP10,"Yes, replied to provide feedback to Bot","Yes, replied to provide feedback to Bot",18.51852,16.66666667,16.66666667,1.8518533299999973,54,Mult,6,Y,1,1.8518533299999973,,,18.51852
EP10,Stimulus,answersEP10,ep10,Q7,Did you at anytime reply to bot recommendations?,Q7+EP10,"Yes, replied to provide update to the PR reviewers","Yes, replied to provide update to the PR reviewers",14.81481,16.66666667,16.66666667,1.8518566700000019,54,Mult,6,Y,1,1.8518566700000019,,,14.81481
EP10,Stimulus,answersEP10,ep10,Q7,Did you at anytime reply to bot recommendations?,Q7+EP10,,__NA__,33.33333,16.66666667,16.66666667,16.666663329999995,54,Mult,6,Y,1,16.666663329999995,,,33.33333
EP11,Stimulus,answersEP11,ep11,Q1,How useful are bot recommendations as a PR author?,Q1+EP11,1,1,5.55556,20,20.0,14.44444,54,Likert,5,N,1,14.44444,,,5.55556
EP11,Stimulus,answersEP11,ep11,Q1,How useful are bot recommendations as a PR author?,Q1+EP11,2,2,12.96296,20,20.0,7.037039999999999,54,Likert,5,N,1,7.037039999999999,,,12.96296
EP11,Stimulus,answersEP11,ep11,Q1,How useful are bot recommendations as a PR author?,Q1+EP11,3,3,27.77778,20,20.0,7.77778,54,Likert,5,N,1,7.77778,,,27.77778
EP11,Stimulus,answersEP11,ep11,Q1,How useful are bot recommendations as a PR author?,Q1+EP11,4,4,37.03704,20,20.0,17.037039999999998,54,Likert,5,N,1,17.037039999999998,,,37.03704
EP11,Stimulus,answersEP11,ep11,Q1,How useful are bot recommendations as a PR author?,Q1+EP11,5,5,16.66667,20,20.0,3.33333,54,Likert,5,N,1,3.33333,,,16.66667
EP11,Stimulus,answersEP11,ep11,Q2,How useful are bot recommendations as a PR reviewer?,Q2+EP11,1,1,7.40741,20,20.0,12.592590000000001,54,Likert,5,N,1,12.592590000000001,,,7.40741
EP11,Stimulus,answersEP11,ep11,Q2,How useful are bot recommendations as a PR reviewer?,Q2+EP11,2,2,16.66667,20,20.0,3.33333,54,Likert,5,N,1,3.33333,,,16.66667
EP11,Stimulus,answersEP11,ep11,Q2,How useful are bot recommendations as a PR reviewer?,Q2+EP11,3,3,31.48148,20,20.0,11.481480000000001,54,Likert,5,N,1,11.481480000000001,,,31.48148
EP11,Stimulus,answersEP11,ep11,Q2,How useful are bot recommendations as a PR reviewer?,Q2+EP11,4,4,33.33333,20,20.0,13.333329999999997,54,Likert,5,N,1,13.333329999999997,,,33.33333
EP11,Stimulus,answersEP11,ep11,Q2,How useful are bot recommendations as a PR reviewer?,Q2+EP11,5,5,11.11111,20,20.0,8.88889,54,Likert,5,N,1,8.88889,,,11.11111
EP11,Stimulus,answersEP11,ep11,Q5,Did you know that you can give feedback on bot recommendations by replying to them?,Q5+EP11,No,No,51.85185,50,50.0,1.8518499999999989,54,Boolean,2,N,1,16.666669999999996,,,66.66667
EP11,Stimulus,answersEP11,ep11,Q5,Did you know that you can give feedback on bot recommendations by replying to them?,Q5+EP11,Yes,Yes,48.14815,50,50.0,1.8518499999999989,54,Boolean,2,N,1,16.666670000000003,,,33.33333
EP11,Stimulus,answersEP11,ep11,Q6,Did you know that your replies to bot recommendations are reviewed by the recommendation authors?,Q6+EP11,No,No,66.66667,50,50.0,16.666669999999996,54,Boolean,2,N,1,,,,
EP11,Stimulus,answersEP11,ep11,Q6,Did you know that your replies to bot recommendations are reviewed by the recommendation authors?,Q6+EP11,Yes,Yes,33.33333,50,50.0,16.666670000000003,54,Boolean,2,N,1,,,,
EP11,Stimulus,answersEP11,ep11,Q7,Did you at anytime reply to bot recommendations?,Q7+EP11,Never used or seen Bot,Never used or seen Bot,1.85185,16.66666667,16.66666667,14.81481667,54,Mult,6,Y,1,14.81481667,,,1.85185
EP11,Stimulus,answersEP11,ep11,Q7,Did you at anytime reply to bot recommendations?,Q7+EP11,No,No,1.85185,16.66666667,16.66666667,14.81481667,54,Mult,6,Y,1,14.81481667,,,1.85185
EP11,Stimulus,answersEP11,ep11,Q7,Did you at anytime reply to bot recommendations?,Q7+EP11,Wasn't aware that replying to Bot's comment is of any value,Wasn't aware that replying to Bot's comment is of any value,27.77778,16.66666667,16.66666667,11.111113329999998,54,Mult,6,Y,1,11.111113329999998,,,27.77778
EP11,Stimulus,answersEP11,ep11,Q7,Did you at anytime reply to bot recommendations?,Q7+EP11,"Yes, replied to provide feedback to Bot","Yes, replied to provide feedback to Bot",24.07407,16.66666667,16.66666667,7.4074033299999975,54,Mult,6,Y,1,7.4074033299999975,,,24.07407
EP11,Stimulus,answersEP11,ep11,Q7,Did you at anytime reply to bot recommendations?,Q7+EP11,"Yes, replied to provide update to the PR reviewers","Yes, replied to provide update to the PR reviewers",16.66667,16.66666667,16.66666667,3.3299999984137685e-06,54,Mult,6,Y,1,3.3299999984137685e-06,,,16.66667
EP11,Stimulus,answersEP11,ep11,Q7,Did you at anytime reply to bot recommendations?,Q7+EP11,,__NA__,27.77778,16.66666667,16.66666667,11.111113329999998,54,Mult,6,Y,1,11.111113329999998,,,27.77778
